Year,Subregion,Species_CD,Abundance,Relative Abundance ,Effort
2007,1,51,50,0.0010696,181
2007,2,51,13.5,0.00066112,66
2007,3,51,4.5,0.00059211,38
2007,4,51,0,NaN,0
2008,1,51,46,0.00075131,221
2008,2,51,25.5,0.00094647,78
2008,3,51,6,0.00054858,41
2008,4,51,53.5,0.00018682,353
2009,1,51,75,0.00080148,257
2009,2,51,32.5,0.00064436,107
2009,3,51,13,0.00057773,55
2009,4,51,0,NaN,0
2010,1,51,39,0.0007186,188
2010,2,51,14.5,0.00050894,68
2010,3,51,2.5,0.00016695,41
2010,4,51,26,0.00015475,383
2011,1,51,35.5,0.00052078,191
2011,2,51,10,0.00029085,82
2011,3,51,2,0.00011693,44
2011,4,51,0,NaN,0
2012,1,51,47,0.00065729,223
2012,2,51,25,0.00078296,81
2012,3,51,5.5,0.00042927,28
2012,4,51,50.5,0.00017948,421
2014,1,51,7.75,0.0009605,25
2014,2,51,10.75,0.00055161,43
2014,3,51,7,0.00059661,34
2014,4,51,38.5,0.00011596,409
1999,1,52,0,0,44
1999,2,52,0,0,70
1999,3,52,0.5,5.26E-05,34
1999,4,52,3,4.17E-05,208
2000,1,52,0,0,90
2000,2,52,0,0,33
2000,3,52,0,0,32
2000,4,52,0,0,194
2001,1,52,2.5,2.90E-05,131
2001,2,52,3.5,3.89E-05,51
2001,3,52,0,0,26
2001,4,52,0,NaN,0
2002,1,52,0,0,202
2002,2,52,0.5,3.69E-05,54
2002,3,52,1,5.50E-05,32
2002,4,52,0,NaN,0
2003,1,52,2,3.11E-05,199
2003,2,52,1,9.90E-05,22
2003,3,52,0,0,17
2003,4,52,0,NaN,0
2004,1,52,2,4.14E-05,152
2004,2,52,0,NaN,0
2004,3,52,0,0,1
2004,4,52,0.5,4.15E-06,321
2005,1,52,1,2.53E-05,148
2005,2,52,0.5,2.64E-05,42
2005,3,52,0,0,18
2005,4,52,0,NaN,0
2006,1,52,3,6.31E-05,193
2006,2,52,0,0,62
2006,3,52,0,0,23
2006,4,52,0,0,262
2007,1,52,1,2.14E-05,181
2007,2,52,0,0,66
2007,3,52,0,0,38
2007,4,52,0,NaN,0
2008,1,52,0.5,8.17E-06,221
2008,2,52,0.5,1.86E-05,78
2008,3,52,0,0,41
2008,4,52,0.5,1.75E-06,353
2009,1,52,0.5,5.34E-06,257
2009,2,52,0,0,107
2009,3,52,0,0,55
2009,4,52,0,NaN,0
2010,1,52,0.5,9.21E-06,188
2010,2,52,0,0,68
2010,3,52,0,0,41
2010,4,52,0,0,383
2011,1,52,1,1.47E-05,191
2011,2,52,3,8.73E-05,82
2011,3,52,0.5,2.92E-05,44
2011,4,52,0,NaN,0
2012,1,52,1.5,2.10E-05,223
2012,2,52,0.5,1.57E-05,81
2012,3,52,0,0,28
2012,4,52,2.5,8.89E-06,421
2014,1,52,1.5,0.0001859,25
2014,2,52,0,0,43
2014,3,52,0.5,4.26E-05,34
2014,4,52,6.5,1.96E-05,409
1999,1,53,0,0,44
1999,2,53,1,5.87E-05,70
1999,3,53,0,0,34
1999,4,53,1,1.39E-05,208
2000,1,53,0.5,1.92E-05,90
2000,2,53,0.5,3.59E-05,33
2000,3,53,0,0,32
2000,4,53,0.5,5.96E-06,194
2001,1,53,0,0,131
2001,2,53,0,0,51
2001,3,53,0,0,26
2001,4,53,0,NaN,0
2002,1,53,0,0,202
2002,2,53,0,0,54
2002,3,53,0,0,32
2002,4,53,0,NaN,0
2003,1,53,0,0,199
2003,2,53,0,0,22
2003,3,53,0,0,17
2003,4,53,0,NaN,0
2004,1,53,1,2.07E-05,152
2004,2,53,0,NaN,0
2004,3,53,0,0,1
2004,4,53,1.5,1.24E-05,321
2005,1,53,4.5,0.00011363,148
2005,2,53,0,0,42
2005,3,53,0,0,18
2005,4,53,0,NaN,0
2006,1,53,1,2.10E-05,193
2006,2,53,0,0,62
2006,3,53,0,0,23
2006,4,53,5,3.01E-05,262
2007,1,53,9,0.00019252,181
2007,2,53,8,0.00039178,66
2007,3,53,0.5,6.58E-05,38
2007,4,53,0,NaN,0
2008,1,53,1.5,2.45E-05,221
2008,2,53,0.5,1.86E-05,78
2008,3,53,0,0,41
2008,4,53,4,1.40E-05,353
2009,1,53,2,2.14E-05,257
2009,2,53,1.5,2.97E-05,107
2009,3,53,0.5,2.22E-05,55
2009,4,53,0,NaN,0
2010,1,53,0,0,188
2010,2,53,0,0,68
2010,3,53,0,0,41
2010,4,53,2.5,1.49E-05,383
2011,1,53,0.5,7.33E-06,191
2011,2,53,0,0,82
2011,3,53,1,5.85E-05,44
2011,4,53,0,NaN,0
2012,1,53,2.5,3.50E-05,223
2012,2,53,6,0.00018791,81
2012,3,53,0,0,28
2012,4,53,19,6.75E-05,421
2014,1,53,0,0,25
2014,2,53,0,0,43
2014,3,53,0,0,34
2014,4,53,2.5,7.53E-06,409
1999,1,54,0,0,44
1999,2,54,0,0,70
1999,3,54,0,0,34
1999,4,54,0,0,208
2000,1,54,0,0,90
2000,2,54,0,0,33
2000,3,54,0,0,32
2000,4,54,0.5,5.96E-06,194
2001,1,54,0,0,131
2001,2,54,0,0,51
2001,3,54,0,0,26
2001,4,54,0,NaN,0
2002,1,54,0,0,202
2002,2,54,0,0,54
2002,3,54,0,0,32
2002,4,54,0,NaN,0
2003,1,54,0.5,7.77E-06,199
2003,2,54,1,9.90E-05,22
2003,3,54,0,0,17
2003,4,54,0,NaN,0
2004,1,54,0.5,1.04E-05,152
2004,2,54,0,NaN,0
2004,3,54,0,0,1
2004,4,54,1,8.30E-06,321
2005,1,54,0.5,1.26E-05,148
2005,2,54,0,0,42
2005,3,54,0,0,18
2005,4,54,0,NaN,0
2006,1,54,0,0,193
2006,2,54,0,0,62
2006,3,54,0,0,23
2006,4,54,0.5,3.01E-06,262
2007,1,54,0,0,181
2007,2,54,0,0,66
2007,3,54,0,0,38
2007,4,54,0,NaN,0
2008,1,54,0,0,221
2008,2,54,0,0,78
2008,3,54,0,0,41
2008,4,54,0,0,353
2009,1,54,0.5,5.34E-06,257
2009,2,54,0,0,107
2009,3,54,0,0,55
2009,4,54,0,NaN,0
2010,1,54,0,0,188
2010,2,54,0,0,68
2010,3,54,0,0,41
2010,4,54,1,5.95E-06,383
2011,1,54,0,0,191
2011,2,54,0,0,82
2011,3,54,0,0,44
2011,4,54,0,NaN,0
2012,1,54,0,0,223
2012,2,54,0,0,81
2012,3,54,0,0,28
2012,4,54,0.5,1.78E-06,421
2014,1,54,0,0,25
2014,2,54,0,0,43
2014,3,54,0,0,34
2014,4,54,0,0,409
1999,1,55,0,0,44
1999,2,55,0,0,70
1999,3,55,0,0,34
1999,4,55,0.5,6.95E-06,208
2000,1,55,0,0,90
2000,2,55,0,0,33
2000,3,55,1,0.00010852,32
2000,4,55,6,7.16E-05,194
2001,1,55,0,0,131
2001,2,55,0,0,51
2001,3,55,0,0,26
2001,4,55,0,NaN,0
2002,1,55,0,0,202
2002,2,55,0,0,54
2002,3,55,0,0,32
2002,4,55,0,NaN,0
2003,1,55,0,0,199
2003,2,55,0,0,22
2003,3,55,0,0,17
2003,4,55,0,NaN,0
2004,1,55,0,0,152
2004,2,55,0,NaN,0
2004,3,55,0,0,1
2004,4,55,1,8.30E-06,321
2005,1,55,0,0,148
2005,2,55,0,0,42
2005,3,55,0,0,18
2005,4,55,0,NaN,0
2006,1,55,0,0,193
2006,2,55,0,0,62
2006,3,55,0,0,23
2006,4,55,0,0,262
2007,1,55,0,0,181
2007,2,55,0,0,66
2007,3,55,0,0,38
2007,4,55,0,NaN,0
2008,1,55,0,0,221
2008,2,55,0,0,78
2008,3,55,0.5,4.57E-05,41
2008,4,55,0,0,353
2009,1,55,0,0,257
2009,2,55,0.5,9.91E-06,107
2009,3,55,0.5,2.22E-05,55
2009,4,55,0,NaN,0
2010,1,55,0,0,188
2010,2,55,0,0,68
2010,3,55,1,6.68E-05,41
2010,4,55,0.5,2.98E-06,383
2011,1,55,0,0,191
2011,2,55,1,2.91E-05,82
2011,3,55,0,0,44
2011,4,55,0,NaN,0
2012,1,55,0,0,223
2012,2,55,0.5,1.57E-05,81
2012,3,55,0,0,28
2012,4,55,4.5,1.60E-05,421
2014,1,55,0,0,25
2014,2,55,0,0,43
2014,3,55,0,0,34
2014,4,55,2,6.02E-06,409
1999,1,56,0,0,44
1999,2,56,0,0,70
1999,3,56,0.5,5.26E-05,34
1999,4,56,1.5,2.09E-05,208
2000,1,56,0.5,1.92E-05,90
2000,2,56,0,0,33
2000,3,56,0,0,32
2000,4,56,0,0,194
2001,1,56,0,0,131
2001,2,56,0,0,51
2001,3,56,0,0,26
2001,4,56,0,NaN,0
2002,1,56,9.5,0.00016601,202
2002,2,56,0.5,3.69E-05,54
2002,3,56,0.5,2.75E-05,32
2002,4,56,0,NaN,0
2003,1,56,4.5,6.99E-05,199
2003,2,56,0,0,22
2003,3,56,0,0,17
2003,4,56,0,NaN,0
2004,1,56,0,0,152
2004,2,56,0,NaN,0
2004,3,56,0,0,1
2004,4,56,6,4.98E-05,321
2005,1,56,1.5,3.79E-05,148
2005,2,56,1.5,7.92E-05,42
2005,3,56,0,0,18
2005,4,56,0,NaN,0
2006,1,56,0.5,1.05E-05,193
2006,2,56,0,0,62
2006,3,56,0,0,23
2006,4,56,4,2.41E-05,262
2007,1,56,16,0.00034226,181
2007,2,56,2.5,0.00012243,66
2007,3,56,1,0.00013158,38
2007,4,56,0,NaN,0
2008,1,56,14,0.00022866,221
2008,2,56,5.5,0.00020414,78
2008,3,56,5,0.00045715,41
2008,4,56,21.5,7.51E-05,353
2009,1,56,0,0,257
2009,2,56,1,1.98E-05,107
2009,3,56,0.5,2.22E-05,55
2009,4,56,0,NaN,0
2010,1,56,4,7.37E-05,188
2010,2,56,1,3.51E-05,68
2010,3,56,0.5,3.34E-05,41
2010,4,56,24,0.00014285,383
2011,1,56,7,0.00010269,191
2011,2,56,1.5,4.36E-05,82
2011,3,56,0.5,2.92E-05,44
2011,4,56,0,NaN,0
2012,1,56,16,0.00022376,223
2012,2,56,0.5,1.57E-05,81
2012,3,56,1,7.80E-05,28
2012,4,56,1,3.55E-06,421
2014,1,56,0,0,25
2014,2,56,0,0,43
2014,3,56,0,0,34
2014,4,56,2,6.02E-06,409
1999,1,57,0,0,44
1999,2,57,0,0,70
1999,3,57,0,0,34
1999,4,57,0,0,208
2000,1,57,0,0,90
2000,2,57,0,0,33
2000,3,57,0,0,32
2000,4,57,23.5,0.00028025,194
2001,1,57,0,0,131
2001,2,57,1,1.11E-05,51
2001,3,57,0,0,26
2001,4,57,0,NaN,0
2002,1,57,0,0,202
2002,2,57,1,7.38E-05,54
2002,3,57,0,0,32
2002,4,57,0,NaN,0
2003,1,57,0,0,199
2003,2,57,0,0,22
2003,3,57,0,0,17
2003,4,57,0,NaN,0
2004,1,57,0,0,152
2004,2,57,0,NaN,0
2004,3,57,0,0,1
2004,4,57,8.5,7.05E-05,321
2005,1,57,2,5.05E-05,148
2005,2,57,1,5.28E-05,42
2005,3,57,0,0,18
2005,4,57,0,NaN,0
2006,1,57,0,0,193
2006,2,57,0,0,62
2006,3,57,0,0,23
2006,4,57,1,6.02E-06,262
2007,1,57,0,0,181
2007,2,57,0,0,66
2007,3,57,0,0,38
2007,4,57,0,NaN,0
2008,1,57,0,0,221
2008,2,57,0,0,78
2008,3,57,0,0,41
2008,4,57,0,0,353
2009,1,57,0,0,257
2009,2,57,0,0,107
2009,3,57,0,0,55
2009,4,57,0,NaN,0
2010,1,57,0,0,188
2010,2,57,0,0,68
2010,3,57,0,0,41
2010,4,57,1,5.95E-06,383
2011,1,57,0,0,191
2011,2,57,0,0,82
2011,3,57,0,0,44
2011,4,57,0,NaN,0
2012,1,57,0,0,223
2012,2,57,0,0,81
2012,3,57,0,0,28
2012,4,57,0,0,421
2014,1,57,0,0,25
2014,2,57,0,0,43
2014,3,57,0,0,34
2014,4,57,1.5,4.52E-06,409
1999,1,58,0.5,5.05E-05,44
1999,2,58,0,0,70
1999,3,58,0,0,34
1999,4,58,21,0.00029206,208
2000,1,58,13.5,0.0005192,90
2000,2,58,1,7.18E-05,33
2000,3,58,0,0,32
2000,4,58,34,0.00040547,194
2001,1,58,0.5,5.80E-06,131
2001,2,58,0,0,51
2001,3,58,15.5,0.0011032,26
2001,4,58,0,NaN,0
2002,1,58,4.5,7.86E-05,202
2002,2,58,0,0,54
2002,3,58,0,0,32
2002,4,58,0,NaN,0
2003,1,58,0.5,7.77E-06,199
2003,2,58,0,0,22
2003,3,58,0,0,17
2003,4,58,0,NaN,0
2004,1,58,0.5,1.04E-05,152
2004,2,58,0,NaN,0
2004,3,58,0,0,1
2004,4,58,25.5,0.00021161,321
2005,1,58,2,5.05E-05,148
2005,2,58,2.5,0.00013204,42
2005,3,58,2,0.00043141,18
2005,4,58,0,NaN,0
2006,1,58,1.5,3.16E-05,193
2006,2,58,2,8.94E-05,62
2006,3,58,6,0.00089326,23
2006,4,58,50,0.00030082,262
2007,1,58,9,0.00019252,181
2007,2,58,9.5,0.00046524,66
2007,3,58,3.5,0.00046053,38
2007,4,58,0,NaN,0
2008,1,58,4.5,7.35E-05,221
2008,2,58,9.5,0.00035261,78
2008,3,58,7,0.00064001,41
2008,4,58,73,0.00025491,353
2009,1,58,10.5,0.00011221,257
2009,2,58,28,0.00055514,107
2009,3,58,4.5,0.00019998,55
2009,4,58,0,NaN,0
2010,1,58,7.5,0.00013819,188
2010,2,58,11.5,0.00040364,68
2010,3,58,3,0.00020034,41
2010,4,58,84,0.00049997,383
2011,1,58,14,0.00020538,191
2011,2,58,10.5,0.00030539,82
2011,3,58,6,0.00035079,44
2011,4,58,0,NaN,0
2012,1,58,3,4.20E-05,223
2012,2,58,10,0.00031318,81
2012,3,58,1,7.80E-05,28
2012,4,58,124,0.00044071,421
2014,1,58,1,0.00012394,25
2014,2,58,2,0.00010262,43
2014,3,58,3.5,0.00029831,34
2014,4,58,35,0.00010542,409
1999,1,59,2,0.00020183,44
1999,2,59,14,0.00082197,70
1999,3,59,6,0.00063161,34
1999,4,59,371.33,0.0051643,208
2000,1,59,0.833,3.20E-05,90
2000,2,59,2,0.00014356,33
2000,3,59,1,0.00010852,32
2000,4,59,575.5,0.0068631,194
2001,1,59,21,0.00024351,131
2001,2,59,10,0.00011122,51
2001,3,59,5,0.00035587,26
2001,4,59,0,NaN,0
2002,1,59,4,6.99E-05,202
2002,2,59,2.5,0.00018452,54
2002,3,59,4,0.00022011,32
2002,4,59,0,NaN,0
2003,1,59,5,7.77E-05,199
2003,2,59,3.5,0.00034651,22
2003,3,59,0.5,0.00011173,17
2003,4,59,0,NaN,0
2004,1,59,4.5,9.32E-05,152
2004,2,59,0,NaN,0
2004,3,59,0,0,1
2004,4,59,314,0.0026057,321
2005,1,59,10.5,0.00026513,148
2005,2,59,6.5,0.00034331,42
2005,3,59,0,0,18
2005,4,59,0,NaN,0
2006,1,59,29,0.00061033,193
2006,2,59,18.5,0.00082726,62
2006,3,59,8,0.001191,23
2006,4,59,1417.5,0.0085282,262
2007,1,59,11.5,0.000246,181
2007,2,59,12.5,0.00061215,66
2007,3,59,7.5,0.00098686,38
2007,4,59,0,NaN,0
2008,1,59,12,0.00019599,221
2008,2,59,14,0.00051963,78
2008,3,59,6,0.00054858,41
2008,4,59,687,0.002399,353
2009,1,59,8,8.55E-05,257
2009,2,59,20,0.00039653,107
2009,3,59,19,0.00084437,55
2009,4,59,0,NaN,0
2010,1,59,56,0.0010318,188
2010,2,59,16.5,0.00057914,68
2010,3,59,4,0.00026712,41
2010,4,59,503.5,0.0029968,383
2011,1,59,7,0.00010269,191
2011,2,59,17,0.00049444,82
2011,3,59,3,0.0001754,44
2011,4,59,0,NaN,0
2012,1,59,7,9.79E-05,223
2012,2,59,22,0.00068901,81
2012,3,59,6.5,0.00050732,28
2012,4,59,555.5,0.0019743,421
2014,1,59,0.5,6.20E-05,25
2014,2,59,5,0.00025656,43
2014,3,59,1.5,0.00012785,34
2014,4,59,328,0.00098795,409
1999,1,60,0,0,44
1999,2,60,0,0,70
1999,3,60,0,0,34
1999,4,60,0,0,208
2000,1,60,0,0,90
2000,2,60,0,0,33
2000,3,60,0,0,32
2000,4,60,0,0,194
2001,1,60,0,0,131
2001,2,60,0,0,51
2001,3,60,0,0,26
2001,4,60,0,NaN,0
2002,1,60,0,0,202
2002,2,60,0,0,54
2002,3,60,0,0,32
2002,4,60,0,NaN,0
2003,1,60,0,0,199
2003,2,60,0,0,22
2003,3,60,0,0,17
2003,4,60,0,NaN,0
2004,1,60,0,0,152
2004,2,60,0,NaN,0
2004,3,60,0,0,1
2004,4,60,0,0,321
2005,1,60,0,0,148
2005,2,60,0,0,42
2005,3,60,0,0,18
2005,4,60,0,NaN,0
2006,1,60,0,0,193
2006,2,60,0,0,62
2006,3,60,0,0,23
2006,4,60,0,0,262
2007,1,60,0,0,181
2007,2,60,0,0,66
2007,3,60,0,0,38
2007,4,60,0,NaN,0
2008,1,60,0,0,221
2008,2,60,0,0,78
2008,3,60,0,0,41
2008,4,60,0,0,353
2009,1,60,0,0,257
2009,2,60,1,1.98E-05,107
2009,3,60,0,0,55
2009,4,60,0,NaN,0
2010,1,60,0,0,188
2010,2,60,0,0,68
2010,3,60,0,0,41
2010,4,60,0,0,383
2011,1,60,0.5,7.33E-06,191
2011,2,60,0,0,82
2011,3,60,0,0,44
2011,4,60,0,NaN,0
2012,1,60,0,0,223
2012,2,60,0,0,81
2012,3,60,0,0,28
2012,4,60,0,0,421
2014,1,60,0,0,25
2014,2,60,0,0,43
2014,3,60,0,0,34
2014,4,60,0,0,409
1999,1,61,0,0,44
1999,2,61,0,0,70
1999,3,61,0,0,34
1999,4,61,2,2.78E-05,208
2000,1,61,0,0,90
2000,2,61,0,0,33
2000,3,61,0,0,32
2000,4,61,0,0,194
2001,1,61,0,0,131
2001,2,61,0,0,51
2001,3,61,0,0,26
2001,4,61,0,NaN,0
2002,1,61,0,0,202
2002,2,61,0,0,54
2002,3,61,0,0,32
2002,4,61,0,NaN,0
2003,1,61,0,0,199
2003,2,61,0,0,22
2003,3,61,0,0,17
2003,4,61,0,NaN,0
2004,1,61,0,0,152
2004,2,61,0,NaN,0
2004,3,61,0,0,1
2004,4,61,0,0,321
2005,1,61,0,0,148
2005,2,61,0,0,42
2005,3,61,0,0,18
2005,4,61,0,NaN,0
2006,1,61,0,0,193
2006,2,61,0,0,62
2006,3,61,0,0,23
2006,4,61,0,0,262
2007,1,61,0,0,181
2007,2,61,0,0,66
2007,3,61,0,0,38
2007,4,61,0,NaN,0
2008,1,61,0,0,221
2008,2,61,0,0,78
2008,3,61,0,0,41
2008,4,61,0,0,353
2009,1,61,0,0,257
2009,2,61,0,0,107
2009,3,61,0,0,55
2009,4,61,0,NaN,0
2010,1,61,0,0,188
2010,2,61,0,0,68
2010,3,61,0,0,41
2010,4,61,0,0,383
2011,1,61,0,0,191
2011,2,61,0,0,82
2011,3,61,0,0,44
2011,4,61,0,NaN,0
2012,1,61,0,0,223
2012,2,61,0,0,81
2012,3,61,0,0,28
2012,4,61,0,0,421
2014,1,61,0,0,25
2014,2,61,0,0,43
2014,3,61,0,0,34
2014,4,61,0,0,409
1999,1,62,0,0,44
1999,2,62,0,0,70
1999,3,62,0,0,34
1999,4,62,0,0,208
2000,1,62,100,0.0038459,90
2000,2,62,0,0,33
2000,3,62,125.5,0.013619,32
2000,4,62,0,0,194
2001,1,62,0,0,131
2001,2,62,0,0,51
2001,3,62,0,0,26
2001,4,62,0,NaN,0
2002,1,62,0,0,202
2002,2,62,0,0,54
2002,3,62,0,0,32
2002,4,62,0,NaN,0
2003,1,62,0,0,199
2003,2,62,0,0,22
2003,3,62,0,0,17
2003,4,62,0,NaN,0
2004,1,62,55,0.0011397,152
2004,2,62,0,NaN,0
2004,3,62,0,0,1
2004,4,62,7237.5,0.060059,321
2005,1,62,0,0,148
2005,2,62,0,0,42
2005,3,62,0,0,18
2005,4,62,0,NaN,0
2006,1,62,0,0,193
2006,2,62,0,0,62
2006,3,62,0,0,23
2006,4,62,0,0,262
2007,1,62,1.5,3.21E-05,181
2007,2,62,0,0,66
2007,3,62,0,0,38
2007,4,62,0,NaN,0
2008,1,62,0,0,221
2008,2,62,0,0,78
2008,3,62,0,0,41
2008,4,62,0,0,353
2009,1,62,50,0.00053432,257
2009,2,62,0,0,107
2009,3,62,0,0,55
2009,4,62,0,NaN,0
2010,1,62,0,0,188
2010,2,62,0,0,68
2010,3,62,0,0,41
2010,4,62,250,0.001488,383
2011,1,62,0,0,191
2011,2,62,0,0,82
2011,3,62,0,0,44
2011,4,62,0,NaN,0
2012,1,62,0,0,223
2012,2,62,0,0,81
2012,3,62,0,0,28
2012,4,62,0,0,421
2014,1,62,0,0,25
2014,2,62,0,0,43
2014,3,62,0,0,34
2014,4,62,0,0,409
1999,1,63,0,0,44
1999,2,63,0,0,70
1999,3,63,0,0,34
1999,4,63,0,0,208
2000,1,63,0,0,90
2000,2,63,0,0,33
2000,3,63,0,0,32
2000,4,63,0,0,194
2001,1,63,0,0,131
2001,2,63,0,0,51
2001,3,63,0,0,26
2001,4,63,0,NaN,0
2002,1,63,0,0,202
2002,2,63,0,0,54
2002,3,63,0,0,32
2002,4,63,0,NaN,0
2003,1,63,0,0,199
2003,2,63,0,0,22
2003,3,63,0,0,17
2003,4,63,0,NaN,0
2004,1,63,0,0,152
2004,2,63,0,NaN,0
2004,3,63,0,0,1
2004,4,63,0,0,321
2005,1,63,0,0,148
2005,2,63,0,0,42
2005,3,63,0,0,18
2005,4,63,0,NaN,0
2006,1,63,0,0,193
2006,2,63,0,0,62
2006,3,63,0,0,23
2006,4,63,0,0,262
2007,1,63,0,0,181
2007,2,63,0,0,66
2007,3,63,0,0,38
2007,4,63,0,NaN,0
2008,1,63,0,0,221
2008,2,63,0,0,78
2008,3,63,0,0,41
2008,4,63,0.5,1.75E-06,353
2009,1,63,0,0,257
2009,2,63,0,0,107
2009,3,63,0,0,55
2009,4,63,0,NaN,0
2010,1,63,0,0,188
2010,2,63,0,0,68
2010,3,63,0,0,41
2010,4,63,0,0,383
2011,1,63,0,0,191
2011,2,63,0,0,82
2011,3,63,0,0,44
2011,4,63,0,NaN,0
2012,1,63,0,0,223
2012,2,63,0,0,81
2012,3,63,0,0,28
2012,4,63,0,0,421
2014,1,63,0,0,25
2014,2,63,0,0,43
2014,3,63,0,0,34
2014,4,63,0,0,409
1999,1,64,0,0,44
1999,2,64,0,0,70
1999,3,64,2,0.00021054,34
1999,4,64,0,0,208
2000,1,64,3.333,0.00012818,90
2000,2,64,2.5,0.00017946,33
2000,3,64,0.5,5.43E-05,32
2000,4,64,1,1.19E-05,194
2001,1,64,0,0,131
2001,2,64,1,1.11E-05,51
2001,3,64,0,0,26
2001,4,64,0,NaN,0
2002,1,64,3.5,6.12E-05,202
2002,2,64,0.5,3.69E-05,54
2002,3,64,0.5,2.75E-05,32
2002,4,64,0,NaN,0
2003,1,64,2.5,3.88E-05,199
2003,2,64,0,0,22
2003,3,64,1,0.00022346,17
2003,4,64,0,NaN,0
2004,1,64,1.5,3.11E-05,152
2004,2,64,0,NaN,0
2004,3,64,0,0,1
2004,4,64,9.333,7.74E-05,321
2005,1,64,1,2.53E-05,148
2005,2,64,2,0.00010563,42
2005,3,64,0,0,18
2005,4,64,0,NaN,0
2006,1,64,1,2.10E-05,193
2006,2,64,1.5,6.71E-05,62
2006,3,64,0.5,7.44E-05,23
2006,4,64,1,6.02E-06,262
2007,1,64,0,0,181
2007,2,64,0.5,2.45E-05,66
2007,3,64,0,0,38
2007,4,64,0,NaN,0
2008,1,64,1.5,2.45E-05,221
2008,2,64,0.5,1.86E-05,78
2008,3,64,0.5,4.57E-05,41
2008,4,64,3,1.05E-05,353
2009,1,64,5,5.34E-05,257
2009,2,64,2.5,4.96E-05,107
2009,3,64,1,4.44E-05,55
2009,4,64,0,NaN,0
2010,1,64,2.5,4.61E-05,188
2010,2,64,2,7.02E-05,68
2010,3,64,0,0,41
2010,4,64,5,2.98E-05,383
2011,1,64,2,2.93E-05,191
2011,2,64,2.5,7.27E-05,82
2011,3,64,0,0,44
2011,4,64,0,NaN,0
2012,1,64,3,4.20E-05,223
2012,2,64,1,3.13E-05,81
2012,3,64,0,0,28
2012,4,64,6,2.13E-05,421
2014,1,64,0,0,25
2014,2,64,0,0,43
2014,3,64,0.5,4.26E-05,34
2014,4,64,3,9.04E-06,409
1999,1,65,0,0,44
1999,2,65,7,0.00041098,70
1999,3,65,3,0.00031581,34
1999,4,65,4,5.56E-05,208
2000,1,65,3,0.00011538,90
2000,2,65,0.5,3.59E-05,33
2000,3,65,1,0.00010852,32
2000,4,65,4.5,5.37E-05,194
2001,1,65,2,2.32E-05,131
2001,2,65,3.5,3.89E-05,51
2001,3,65,0,0,26
2001,4,65,0,NaN,0
2002,1,65,5.5,9.61E-05,202
2002,2,65,3.5,0.00025833,54
2002,3,65,1.5,8.25E-05,32
2002,4,65,0,NaN,0
2003,1,65,7,0.00010875,199
2003,2,65,1.5,0.00014851,22
2003,3,65,0,0,17
2003,4,65,0,NaN,0
2004,1,65,6,0.00012433,152
2004,2,65,0,NaN,0
2004,3,65,0,0,1
2004,4,65,1.5,1.24E-05,321
2005,1,65,3,7.58E-05,148
2005,2,65,0,0,42
2005,3,65,0,0,18
2005,4,65,0,NaN,0
2006,1,65,3,6.31E-05,193
2006,2,65,3.5,0.00015651,62
2006,3,65,0,0,23
2006,4,65,3.5,2.11E-05,262
2007,1,65,4,8.56E-05,181
2007,2,65,1.5,7.35E-05,66
2007,3,65,1.5,0.00019737,38
2007,4,65,0,NaN,0
2008,1,65,2,3.27E-05,221
2008,2,65,2,7.42E-05,78
2008,3,65,0,0,41
2008,4,65,4,1.40E-05,353
2009,1,65,3,3.21E-05,257
2009,2,65,4.5,8.92E-05,107
2009,3,65,1.5,6.67E-05,55
2009,4,65,0,NaN,0
2010,1,65,2,3.69E-05,188
2010,2,65,0.5,1.76E-05,68
2010,3,65,2,0.00013356,41
2010,4,65,3.5,2.08E-05,383
2011,1,65,2,2.93E-05,191
2011,2,65,6,0.00017451,82
2011,3,65,0.5,2.92E-05,44
2011,4,65,0,NaN,0
2012,1,65,5,6.99E-05,223
2012,2,65,4.5,0.00014093,81
2012,3,65,2.5,0.00019512,28
2012,4,65,7.5,2.67E-05,421
2014,1,65,0,0,25
2014,2,65,1.5,7.70E-05,43
2014,3,65,1,8.52E-05,34
2014,4,65,1.5,4.52E-06,409
1999,1,66,0,0,44
1999,2,66,1.5,8.81E-05,70
1999,3,66,0.5,5.26E-05,34
1999,4,66,0,0,208
2000,1,66,0,0,90
2000,2,66,0,0,33
2000,3,66,0,0,32
2000,4,66,1,1.19E-05,194
2001,1,66,1,1.16E-05,131
2001,2,66,0,0,51
2001,3,66,0,0,26
2001,4,66,0,NaN,0
2002,1,66,0,0,202
2002,2,66,0,0,54
2002,3,66,0,0,32
2002,4,66,0,NaN,0
2003,1,66,2.5,3.88E-05,199
2003,2,66,0,0,22
2003,3,66,0,0,17
2003,4,66,0,NaN,0
2004,1,66,1,2.07E-05,152
2004,2,66,0,NaN,0
2004,3,66,0,0,1
2004,4,66,3,2.49E-05,321
2005,1,66,0,0,148
2005,2,66,1,5.28E-05,42
2005,3,66,3,0.00064711,18
2005,4,66,0,NaN,0
2006,1,66,0,0,193
2006,2,66,0,0,62
2006,3,66,0,0,23
2006,4,66,0,0,262
2007,1,66,1.5,3.21E-05,181
2007,2,66,0,0,66
2007,3,66,0,0,38
2007,4,66,0,NaN,0
2008,1,66,0,0,221
2008,2,66,0,0,78
2008,3,66,0,0,41
2008,4,66,0,0,353
2009,1,66,0,0,257
2009,2,66,0,0,107
